name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,longitude,latitude,easting,northing,category,year,,,,,,,,,,
Redlees Studios,"Reddlees Park, Worton Road",,,Hounslow,www.redlees.org,10091692695,E09000018,Isleworth,E05000362,-0.332369119,51.46693812,515714.156,175645.9491,Artists Workspaces,2018,,,,,,,,,,
Stockwell Road - ASC Studios,3rd Floor,246 Stockwell Road,,Lambeth,www.ascstudios.co.uk,10091846274,E09000022,Ferndale,E05000421,-0.114647355,51.46469069,530839.4773,175763.0766,Artists Workspaces,2018,,,,,,,,,,
Warrior Studios,Arch 264,241 Coldharbour Lane,,Lambeth,http://www.warriorstudios.org/,2E+11,E09000022,Coldharbour,E05000420,-0.102541588,51.46498994,531679.2725,175818.0591,Artists Workspaces,2018,,,,,,,,,,
Arch 258,Arch 258 Hardess St,,,Lambeth,www.artcoreint.net,10023854148,E09000022,Herne Hill,E05000423,-0.101457693,51.4650893,531754.2541,175831.056,Artists Workspaces,2018,,,,,,,,,,
Pipeline Projects,31 Ruvigny Gardens,,,Wandsworth,www.artcoreint.net,1E+11,E09000032,Thamesfield,E05000625,-0.218611754,51.46791673,523611.0016,175940.9046,Artists Workspaces,2018,,,,,,,,,,
Clockwork Studios,Southwell Road,,,Lambeth,http://www.clockworkstudios.co.uk/,10093379709,E09000022,Herne Hill,E05000423,-0.098684343,51.4663483,531943.2056,175976.0271,Artists Workspaces,2018,,,,,,,,,,
coldharbour studios,26 - 34 Southwell Road,,,Lambeth,http://www.coldharbourlondon.com/,1E+11,E09000022,Herne Hill,E05000423,-0.098684343,51.4663483,531943.2056,175976.0271,Artists Workspaces,2018,,,,,,,,,,
Block 336,336 Brixton Road,,,Lambeth,http://block336.com/,10091845237,E09000022,Ferndale,E05000421,-0.113223473,51.46814799,530928.4447,176149.9998,Artists Workspaces,2018,,,,,,,,,,
Glassyard,276 Oak Square,Stockwell,,Lambeth,www.acme.org.uk,10090201945,E09000022,Larkhall,E05000425,-0.120581162,51.4688417,530415.5578,176213.984,Artists Workspaces,2018,,,,,,,,,,
Sonsoles Print Studio,"Unit 11, Print Village",Chadwick Road,,Southwark,http://sonsolesprintstudio.co.uk/studio-facilities/,2E+11,E09000028,Rye Lane,E05011113,-0.074090545,51.46813197,533645.7798,176218.9572,Artists Workspaces,2018,,,,,,,,,,
Cubitt Gallery,8 Angel Mews,,,Islington,http://cubittartists.org.uk/,10012791474,E09000019,Barnsbury,E05000366,-0.107844697,51.5323504,531117.3785,183297.6226,Artists Workspaces,2018,,,,,,,,,,
London Southwest Workshops,Culvert Court ,105 Culvert Road ,,Wandsworth,http://londonsouthwestworkshops.co.uk/,121052096,E09000032,Latchmere,E05000617,-0.156330777,51.47101893,527927.087,176392.9151,Artists Workspaces,2018,,,,,,,,,,
The Arches Studios,Blenheim Court,48-50 Blenheim Grove ,,Southwark,www.the-arches-studios.com,2E+11,E09000028,Rye Lane,E05011113,-0.068791459,51.46985233,534008.6855,176419.9128,Artists Workspaces,2018,,,,,,,,,,
Bussey Building,133 Copeland Road,,,Southwark,www.copelandpark.com,10094085848,E09000028,Rye Lane,E05011113,-0.065747142,51.46999995,534219.6317,176441.9038,Artists Workspaces,2018,,,,,,,,,,
Lewisham Arthouse ,140 Lewisham Way,,,Lewisham,http://www.lewishamarthouse.org.uk,1E+11,E09000023,Brockley,E05000439,-0.030608277,51.47148298,536655.0313,176671.7991,Artists Workspaces,2018,,,,,,,,,,
401 1/2 Studios,"401 - 403, Wandsworth Road",,,Lambeth,www.401studios.org,2E+11,E09000022,Larkhall,E05000425,-0.13248182,51.47371047,529575.386,176734.1343,Artists Workspaces,2018,,,,,,,,,,
Vanguard Court Studios,Rear of 36-38 Peckham Road,,,Southwark,www.vanguardcourt.org,10000812526,E09000028,St. Giles,E05011115,-0.081585729,51.47308408,533110.9067,176755.8686,Artists Workspaces,2018,,,,,,,,,,
Staffordshire Street Studios,47 Staffordshire Street,,,Southwark,www.assemblypoint.xyz,10091667089,E09000028,Peckham,E05011110,-0.065486485,51.4754813,534221.6235,177051.7922,Artists Workspaces,2018,,,,,,,,,,
Havil Street,233 Havil Street,Southwark,,Southwark,www.spacestudios.org.uk,2E+11,E09000028,St. Giles,E05011115,-0.083053318,51.4758599,533000.9295,177061.8131,Artists Workspaces,2018,,,,,,,,,,
