name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,latitude,longitude,easting,northing
Cresswood Tenants Hall,215 Queen'S Crescent,Camden,NA,Camden,,5003376,E09000007,Gospel Oak,E05000134,51.55069284,-0.146923156,528467.0001,185214.0001
Sparrow Farm Community Centre,Sparrow Farm Drive,Hounslow,NA,Hounslow,,10090800595,E09000018,Feltham North,E05000351,51.45159097,-0.395470491,511478.8001,173787.2001
Grassroots Community Centre,Memorial Avenue,Newham,NA,Newham,,10023998843,E09000025,Canning Town North,E05000477,51.52644069,0.010103674,539426.2301,182804.9301
Slade Centre,Erindale,Greenwich,NA,Greenwich,http://www.glyndon.org.uk/slade.htm,1.00023E+11,E09000011,Shooters Hill,E05000227,51.47826037,0.086659092,544888.5601,177596.5701
The Eagle Community Centre,52 Tamworth Road,Croydon,NA,Croydon,,1.00023E+11,E09000008,Broad Green,E05000149,51.37374398,-0.103682601,531974.0001,165616.0001
Bayham Place Tenants Association Hall,Bayham Place,NA,NA,Camden,,5109352,E09000007,St. Pancras and Somers Town,E05000143,51.53559564,-0.135754595,529284.0001,183555.0001
The Sundial Centre,Sundial Centre,11 Shipton Street,London,Tower Hamlets,,6150974,E09000030,Weavers,E05009335,51.52963457,-0.068603309,533958.0001,183013.0001
Sycamore Community Hall,27 West End Lane,Camden,NA,Camden,,5084701,E09000007,Kilburn,E05000140,51.53920226,-0.19032429,525490.0001,183861.0001
Woodheyes,34 Woodheyes Road, London,NA,Brent,,202029222,E09000005,Stonebridge,E05000100,51.550841,-0.255109298,520967.0001,185046.0001
Hawthorn Community Hall,Hawthorn Crescent,Wandsworth,NA,Wandsworth,,121030851,E09000032,Graveney,E05000616,51.42469914,-0.157592585,528080.0001,171186.0001
Beethoven Centre,Third Avenue,City Of Westminster,NA,Westminster,https://a2dominion.co.uk/beethovencentre,2.00003E+11,E09000033,Queen's Park,E05000642,51.53052247,-0.20723622,524341.0001,182867.0001
The Honeywell Centre,26 Wraysbury Drive,NA,NA,Hillingdon,https://www.a2dominion.co.uk/locations/The-Honeywell-Centre-West-Drayton,10090330845,E09000017,Yiewsley,E05000345,51.51298351,-0.476158615,505731.0001,180494.0001
Woodgrange Community Centre,Bluebell Avenue,Newham,NA,Newham,,10008997939,E09000025,Manor Park,E05000488,51.54796078,0.048712988,542037.0001,185272.0001
Havelock Centre Southall,17 Trubshaw Road, Southall,NA,Ealing,https://www.a2dominion.co.uk/locations/Havelock-Centre-Southall,12148842,E09000009,Norwood Green,E05000186,51.50082092,-0.364386823,513516.0001,179309.0001
Meadows Community Centre,90 Wise Lane, West Drayton,NA,Hillingdon,https://www.chg.org.uk/residents/supporting-communities/our-community-centres/,2.00003E+11,E09000017,West Drayton,E05000342,51.49743218,-0.476691776,505730.0001,178764.0001
Unity Centre,103 Church Road, London,NA,Brent,http://www.unitycentre.org.uk,202146192,E09000005,Harlesden,E05000091,51.54384221,-0.25195875,521204.0001,184273.0001
Friary Park Community Centre,Joseph Ave, Friary Park, Acton,Ealing,https://www.chg.org.uk/residents/supporting-communities/our-community-centres/,12157376,E09000009,Acton Central,E05000170,51.51580396,-0.261854165,520592.0001,181139.0001
Jasmine Community Centre,Jasmine Close, 88A Lancaster Road, Southall,Ealing,https://www.chg.org.uk/residents/supporting-communities/our-community-centres/,12142322,E09000009,Southall Broadway,E05000189,51.51477033,-0.381947798,512263.0001,180833.0001
Godwin & Crowndale Community Hall,Crowndale Road,Camden,NA,Camden,,5110721,E09000007,St. Pancras and Somers Town,E05000143,51.53431174,-0.133629563,529435.0001,183416.0001
Westcott Park Community Centre,13 Ferguson Drive, Westcott Park, Acton,Ealing,https://www.chg.org.uk/residents/supporting-communities/our-community-centres/,12105368,E09000009,East Acton,E05000175,51.5180847,-0.256765265,520939.0001,181401.0001
Windmill Park Community Centre,1 Tulip Close, Chevy Road, Windmill Park,Ealing,https://www.chg.org.uk/residents/supporting-communities/our-community-centres/,12049219,E09000009,Norwood Green,E05000186,51.50617683,-0.351887824,514370.0001,179924.0001
Artizan Street Library & Community Centre,1 Artizan Street,City Of London,NA,City of London,https://www.cityoflondon.gov.uk/services/libraries-and-archives/our-libraries/Pages/Artizan-Street-Library-and-Community-Centre.aspx,95511788,E09000001,Portsoken,E05009308,51.51514611,-0.075183973,533544.0001,181390.0001
Golden Lane Community Centre,Golden Lane Estate,City Of London,NA,City of London,,2E+11,E09000001,Cripplegate,E05009302,51.52165663,-0.093852838,532230.0001,182080.0001
The Factory,1 Chippenham Mews,City Of Westminster,NA,Westminster,,1.00024E+11,E09000033,Harrow Road,E05000635,51.52307376,-0.193616568,525306.0001,182062.0001
Abbey Community Association : Abbey Community Centre,34 Great Smith Street,City Of Westminster,NA,Westminster,https://www.theabbeycentre.org.uk/,1.00023E+11,E09000033,St. James's,E05000644,51.49683648,-0.128043132,529929.0001,179259.0001
Derry Hall,Church Street Estate,City Of Westminster,NA,Westminster,https://www.cwh.org.uk/your-community/hall-hire/derry-hall,10033625314,E09000033,Church Street,E05000634,51.52270994,-0.170706447,526896.1301,182061.0301
Orchard Community Centre,Columbine Way, Lewisham Road, London,Lewisham,http://www.thereapcentre.com/ ,10093390833,E09000023,Lewisham Central,E05000448,51.46665065,-0.010974526,538145.0001,176117.0001
Butley Court Senior Citizens Centre,1 Butley Court, Ford Street,NA,Tower Hamlets,https://www.clarionhg.com/,6646862,E09000030,Bow West,E05009320,51.53288521,-0.033075018,536412.2401,183440.0901
Tredegar Community Centre,333 Morville Street,NA,NA,Tower Hamlets,https://www.clarionhg.com/,6075400,E09000030,Bow East,E05009319,51.52973091,-0.022573041,537150.0001,183109.0001
Stockwell Centre,1 Studley Road,Lambeth,NA,Lambeth,https://www.morleycollege.ac.uk/morley-matters/stockwell-centre,2E+11,E09000022,Stockwell,E05000429,51.47193926,-0.122236625,530403.0001,176501.0001
The Arc Centre,98 St Paul Street,Islington,NA,Islington,www.thespacegroup.org/contact-us/,10090265601,E09000019,St. Peter's,E05000380,51.53546974,-0.094342871,532156.0001,183615.0001
Ringcross Community Centre,60 Lough Road,Islington,NA,Islington,http://www.piliontrust.info/,5300058839,E09000019,Holloway,E05000375,51.54921854,-0.113112615,530815.0001,185110.0001
The Stonebridge Hub,6 Hillside,Brent,NA,Brent,,202196460,E09000005,Stonebridge,E05000100,51.54100038,-0.259221179,520708.0001,183945.0001
Darrick Wood Community Centre,Broadwater Gardens,Bromley,NA,Bromley,http://www.facebook.com/darrick.wood,10003626647,E09000006,Farnborough and Crofton,E05000118,51.36434016,0.070821319,544147.0001,164899.0001
Hope Corner Community Centre,185 Mays Lane,Barnet,NA,Barnet,,10091041141,E09000003,Underhill,E05000060,51.64535653,-0.201405278,524431.2101,195645.6601
WG Grace Community Centre,1 Lions Close,Lewisham,NA,Lewisham,,1.00023E+11,E09000023,Grove Park,E05000445,51.42945884,0.036299066,541543.0001,172072.0001
Seddon Centre,33 Clyde Place,Waltham Forest,NA,Waltham Forest,,1.00023E+11,E09000031,Leyton,E05000604,51.56981156,-0.013286036,537673.0001,187583.0001
Lewington Centre,9 Eugenia Road,Lewisham,NA,Lewisham,,10023232830,E09000023,Evelyn,E05000443,51.48903837,-0.049113553,535430.0001,178535.0001
Wandle Valley Community Centre,2 Budge Lane,Sutton,NA,Sutton,https://www.lqgroup.org.uk/services-for-residents/have-your-say/resident-involvement/landq-community-centres/community-cen,5870115697,E09000029,Wandle Valley,E05000571,51.38518404,-0.162946157,527818.0001,166783.0001
St. James Centre,1 Florence Way,Wandsworth,NA,Wandsworth,,121014981,E09000032,Nightingale,E05000618,51.44178731,-0.159898249,527872.0001,173082.0001
Castle Point,163 Bennetts Castle Lane,Barking And Dagenham,NA,Barking and Dagenham,http://communityresources.co.uk,100003083,E09000002,Parsloes,E05000037,51.55467754,0.129101329,547588.0001,186178.0001
Ted Ball Memorial Hall,67 Neasham Road,Barking And Dagenham,NA,Barking and Dagenham,,100022741,E09000002,Mayesbrook,E05000036,51.54453321,0.118631633,546895.0001,185029.0001
Galleon Community Centre,Boundary Road West,Barking And Dagenham,NA,Barking and Dagenham,http://www.studio3arts.org.uk/,100053573,E09000002,Gascoigne,E05000032,51.52997308,0.081920849,544396.0001,183337.0001
Abbey Community Hall,Cowbridge Lane,Barking And Dagenham,NA,Barking and Dagenham,,100055111,E09000002,Abbey,E05000026,51.53962087,0.073433624,543777.0001,184393.0001
Chadwell Heath Community Centre,255 High Road,Barking And Dagenham,NA,Barking and Dagenham,,100101901,E09000002,Whalebone,E05000042,51.57212135,0.144638198,548608.0001,188149.0001
Hedgecock Centre,28 Stephen Jewers Gardens,Barking And Dagenham,NA,Barking and Dagenham,www.hedgecockcentre.org.uk,10090634105,E09000002,Longbridge,E05000035,51.53854266,0.101802714,545747.4301,184329.2601
Fanshawe Community Centre,73,Barnmead Road,Barking And Dagenham,Barking and Dagenham,http://fanshawe-community-c.wixsite.com/fanshawe,100011652,E09000002,Parsloes,E05000037,51.54684594,0.146262009,548803.0001,185342.0001
Wantz Hall (Eastbrook Community Centre),Rainham Road North,Barking And Dagenham,NA,Barking and Dagenham,https://www.lbbd.gov.uk/services/wantz-hall,100024972,E09000002,Heath,E05000034,51.55206882,0.161583807,549848.0001,185954.0001
Heath Park Community Centre,Rusholme Avenue,Barking And Dagenham,NA,Barking and Dagenham,,100026303,E09000002,Heath,E05000034,51.55505107,0.153963148,549310.0001,186270.0001
Whittington Court TRA Hall,Retcar Place,Camden,NA,Camden,,5158161,E09000007,Highgate,E05000137,51.56520803,-0.140084665,528900.0001,186840.0001
Marks Gate Community Hall,Rose Lane,Barking And Dagenham,NA,Barking and Dagenham,https://www.lbbd.gov.uk/services/marks-gate-hall,100027163,E09000002,Chadwell Heath,E05000029,51.58480467,0.137627205,548081.0001,189545.0001
Thames View Community Centre,Bastable Avenue,Barking And Dagenham,NA,Barking and Dagenham,www.thameswardcommuniytassociation.com,100034772,E09000002,Thames,E05000039,51.52763526,0.10406246,545939.0001,183121.0001
