"borough_name","count"
"Barking and Dagenham",6
"Barnet",16
"Bexley",12
"Brent",9
"Bromley",13
"Camden",12
"City of London",4
"Croydon",14
"Ealing",13
"Enfield",17
"Greenwich",14
"Hackney",9
"Hammersmith and Fulham",6
"Haringey",9
"Harrow",7
"Havering",10
"Hillingdon",17
"Hounslow",11
"Islington",10
"Kensington and Chelsea",7
"Kingston upon Thames",7
"Lambeth",9
"Lewisham",12
"Merton",7
"Newham",10
"Redbridge",13
"Richmond upon Thames",13
"Southwark",12
"Sutton",8
"Tower Hamlets",8
"Waltham Forest",10
"Wandsworth",11
"Westminster",11
