name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,easting,northing,longitude,latitude
Mall Galleries,The Mall,17 Carlton House Terrace,NA,City of Westminster,http://www.mallgalleries.org.uk/,1.00E+11,E09000033,St. James's,E05000644,529866.0001,180299.0001,-0.128567343,51.50619817
Chisenhale Gallery,64 Chisenhale Road,,,Tower Hamlets,http://www.chisenhale.org.uk/#,6146768,E09000030,Bow West,E05009320,536071.1105,183402.8564,-0.039595359,51.533143
Islington Museum,245 St John Street,London,,Islington,https://www.islington.gov.uk/libraries-arts-and-heritage/heritage/islington-museum,5300084848,E09000019,Clerkenwell,E05000370,531698.3506,182490.0806,-0.102943118,51.52597704
London Transport Museum,The Piazza ,London,,Westminster,https://www.ltmuseum.co.uk/,10033620581,E09000033,St. James's,E05000644,530581.2365,180862.9407,-0.119639726,51.51161339
Charles Dickens Museum,48-49 Doughty St,London,,Camden,https://dickensmuseum.com/,10092001640,E09000007,Holborn and Covent Garden,E05000138,530894.2628,182148.0547,-0.114654399,51.52309009
Museum of Croydon,Central Library,Croydon Clocktower,Katharine Street,Croydon,http://www.museumofcroydon.com/,1.00E+11,E09000008,Fairfield,E05011468,532381.0001,165364.0001,-0.097931813,51.37138431
Museum of Writing,c/o Institute of English Studies,University of London Senate House,Malet Street,Camden,http://www.museumofwriting.co.uk/,5016035,E09000007,Bloomsbury,E05000129,529927.0001,181851.0001,-0.127116688,51.52013303
The Foundling Museum,40 Brunswick Square,NA,NA,Camden,http://www.foundlingmuseum.org.uk/,5002560,E09000007,King's Cross,E05000141,530403.0001,182378.0001,-0.12006408,51.52475979
Freud Museum,20 Maresfield Gardens,NA,NA,Camden,https://www.freud.org.uk/,5012934,E09000007,Frognal and Fitzjohns,E05000133,526482.0001,184855.0001,-0.175669217,51.54791475
Keats House,10 Keats Grove,Hampstead,NA,Camden,http://www.cityoflondon.gov.uk/keats,5015415,E09000007,Hampstead Town,E05000135,527108.0001,185666.0001,-0.166351857,51.55506318
British Museum,Great Russell Street,NA,NA,Camden,http://www.britishmuseum.org/,5027059,E09000007,Bloomsbury,E05000129,530086.0001,181669.0001,-0.124893237,51.51846067
2 Willow Road,Hampstead,NA,NA,Camden,https://www.nationaltrust.org.uk/2-willow-road,5032722,E09000007,Hampstead Town,E05000135,527019.0001,185841.0001,-0.167571832,51.5566561
British Library,96 Euston Road London,NW1 2DB ,NA,Camden,http://www.bl.uk/,5037737,E09000007,St. Pancras and Somers Town,E05000143,530019.0001,182893.0001,-0.125406634,51.52947699
Burgh House and Hampstead Museum,New End Square,Hampstead,NA,Camden,www.burghhouse.org.uk/,5067420,E09000007,Hampstead Town,E05000135,526606.0001,185944.0001,-0.173489583,51.55767471
Royal College of Physicians of London Museum,Library Archive and Museum Services,11 St Andrews Place,Regent’s Park,Camden,http://www.rcplondon.ac.uk/museum-and-garden,5069347,E09000007,Regent's Park,E05000142,528783.0001,182390.0001,-0.143400913,51.52523946
"Jewish Museum, London",Raymond Burton Hs,129-131 Albert Street,NA,Camden,http://www.jewishmuseum.org.uk/,5082327,E09000007,Camden Town with Primrose Hill,E05000130,528774.0001,183673.0001,-0.143061343,51.53677278
Wellcome Collection,183 Euston Road,NA,NA,Camden,http://www.wellcomecollection.org/,5083806,E09000007,Bloomsbury,E05000129,529550.0001,182426.0001,-0.132336523,51.52538756
Government Art Collection,Queen's Yard,179a Tottenham Court Rd,NA,Camden,www.gac.culture.gov.uk/,5087928,E09000007,Bloomsbury,E05000129,529492.0001,182023.0001,-0.133320357,51.52177882
Fenton House,Hampstead Grove,Hampstead,NA,Camden,https://www.nationaltrust.org.uk/fenton-house-and-garden,5126160,E09000007,Hampstead Town,E05000135,526253.0001,186017.0001,-0.178553228,51.55840996
Sir John Soaneʼs Museum,13 Lincoln’s Inn Fields,NA,NA,Camden,http://www.soane.org/,5137612,E09000007,Holborn and Covent Garden,E05000138,530713.0001,181465.0001,-0.115936351,51.51648243
"Ben Uri Gallery, The Art Museum for Everyone, The London Jewish Museum of Art",108A Boundary Road,off Abbey Rd,St John’s Wood,Camden,www.benuri.org.uk,5144462,E09000007,Kilburn,E05000140,525949.0001,183631.0001,-0.183790989,51.53703278
"Grant Museum of Zoology and Comparative Anatomy, UCL",21 University Street,NA,NA,Camden,https://www.ucl.ac.uk/culture/grant-museum-zoology,5157295,E09000007,Bloomsbury,E05000129,529505.0001,182172.0001,-0.133078286,51.52311501
Petrie Museum of Egyptian Archaeology,University College London,Malet Place,NA,Camden,http://www.culture24.org.uk/se000386,5157395,E09000007,Bloomsbury,E05000129,529654.0001,182223.0001,-0.130912785,51.52353919
"Geology (and Teaching & Research) Collections, UCL",Rock Room,"Room 4, First Floor",South Wing,Camden,https://www.ucl.ac.uk/culture/geology-collection,5157402,E09000007,Bloomsbury,E05000129,529587.0001,182227.0001,-0.13187663,51.52359052
UCL Art Museum,South Cloisters,UCL,NA,Camden,http://www.ucl.ac.uk/museums/uclart,5157412,E09000007,Bloomsbury,E05000129,529599.0001,182272.0001,-0.131687181,51.52399221
Crystal Palace Museum,Anerley Hill,NA,NA,Bromley,www.crystalpalacemuseum.org.uk/,1.00E+11,E09000006,Crystal Palace,E05000116,533829.0001,170728.0001,-0.075116344,51.41925428
Cartoon Museum,35 Little Russell Street,NA,NA,Camden,http://www.cartoonmuseum.org/,5158052,E09000007,Holborn and Covent Garden,E05000138,530121.0001,181527.0001,-0.124441464,51.51717636
House of Illustration,2 Granary Square King's Cross London,NA,NA,Camden,http://www.houseofillustration.org.uk/,5188521,E09000007,St. Pancras and Somers Town,E05000143,530176.0001,183615.0001,-0.122877374,51.53592987
V&A Museum of Childhood,Cambridge Heath Road,NA,NA,Tower Hamlets,http://www.museumofchildhood.org.uk/,6039165,E09000030,Bethnal Green,E05009317,535023.0001,182920.0001,-0.053293375,51.52854504
Ragged School Museum,46-50 Copperfield Road,NA,NA,Tower Hamlets,http://www.raggedschoolmuseum.org.uk/,6048400,E09000030,Mile End,E05009327,536387.0001,181800.0001,-0.03407382,51.51815155
The Tower of London,St Katharine's & Wapping,London,NA,Tower Hamlets,www.​hrp.​org.​uk/​TowerOfLondon/​,6086565,E09000030,St. Katharine's & Wapping,E05009330,533602.0001,180570.0001,-0.074659304,51.50776272
"Royal Armouries, Tower of London",HM Tower Of London,St Katharine's & Wapping,NA,Tower Hamlets,https://royalarmouries.org/visit-us/tower-of-london,6086565,E09000030,St. Katharine's & Wapping,E05009330,533602.0001,180570.0001,-0.074659304,51.50776272
The Fusilier Museum London,HM Tower of London,35 Tower Hill,St Katharine's & Wapping,Tower Hamlets,www.​fusiliermuseumlondon.​org,6086845,E09000030,St. Katharine's & Wapping,E05009330,533675.0001,180585.0001,-0.073602252,51.50788027
Royal London Hospital Archives and Museum,Church of St Augustine with St Philip,Newark Street,NA,Tower Hamlets,NA,6118397,E09000030,Whitechapel,E05009336,534671.0001,181598.0001,-0.05887063,51.5167479
Museum of the Royal Pharmaceutical Society,1 Lambeth High Street,NA,NA,Tower Hamlets,www.​rpsgb.​org/​museum,6136082,E09000030,Whitechapel,E05009336,534153.0001,180674.0001,-0.066684113,51.50856685
Museum of London Docklands,No. 1 Warehouse,West India Quay,NA,Tower Hamlets,http://www.museumoflondon.org.uk/docklands,6151122,E09000030,Canary Wharf,E05009323,537241.0001,180594.0001,-0.022241432,51.5071062
Trades Union Congress (TUC) Library Collections,Special Collections  London Metropolitan University,Wash Houses,Old Castle Street,Tower Hamlets,http://www.londonmet.ac.uk/tuc,6151239,E09000030,Spitalfields & Banglatown,E05009333,533736.0001,181408.0001,-0.072411463,51.51526246
Kelmscott House,26 Upper Mall,Hammersmith,NA,Hammersmith and Fulham,http://www.culture24.org.uk/se000423,34008094,E09000013,Ravenscourt Park,E05000261,522598.0001,178324.0001,-0.233934067,51.49007025
Fulham Palace,Fulham Palace,Bishop's Ave,Fulham,Hammersmith and Fulham,www.fulhampalace.org/,34022825,E09000013,Palace Riverside,E05000259,524062.0001,176130.0001,-0.213626422,51.47003084
Wandle Industrial Museum,The Vestry Hall Annexe,London Road,Mitcham,Merton,http://www.wandle.org/,48083242,E09000024,Cricket Green,E05000458,527527.0001,168619.0001,-0.166466478,51.4017516
Museum of Wimbledon,22 Ridgway,Wimbledon,NA,Merton,http://www.wimbledonmuseum.org.uk/,48107954,E09000024,Village,E05000472,524089.3001,170880.0001,-0.215074838,51.42283672
Wimbledon Lawn Tennis Museum,The All England Lawn Tennis Club,Church Road,Wimbledon,Merton,http://www.wimbledon.com/museum,48129052,E09000024,Village,E05000472,524243.0001,172037.0001,-0.212459281,51.43320243
Barts Pathology Museum,3rd Floor,Robin Brook Centre  St Bartholomew's Hospital,West Smithfield,City and County of the City of London,www.qmul.ac.uk/pathologymuseum/,95512892,E09000001,Farringdon Without,E05009305,531855.9501,181567.3001,-0.099433593,51.51713619
St Bartholomews Hospital Museum,North Wing,St Bartholomew’s Hospital,West Smithfield,City and County of the City of London,https://www.bartshealth.nhs.uk/st-bartholomews-museum-and-archives,95512892,E09000001,Farringdon Without,E05009305,531855.9501,181567.3001,-0.099433593,51.51713619
