name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,longitude,latitude,easting,northing
Above The Stag Theatre,72 Albert Embankment, Vauxhall,NA,Wandsworth,http://www.abovethestag.com/,2.00E+11,E09000032,Queenstown,E05000620,-0.127382453,51.48312519,529902.638,177789.8928
Adelphi Theatre,Strand, London,NA,City of Westminster,http://www.reallyusefultheatres.co.uk/our-theatres/adelphi,1.00E+11,E09000033,St. James's,E05000644,-0.124424545,51.5106376,530029.586,180853.9679
Aldwych Theatre,49 Aldwych,NA,NA,City of Westminster,https://www.nederlander.co.uk/aldwych-theatre,1.00E+11,E09000033,St. James's,E05000644,-0.120469995,51.51358639,530295.5105,181188.857
Alexandra Palace Theatre,Alexandra Palace, Alexandra Palace Way,NA,Haringey,http://www.alexandrapalace.com/,10003974918,E09000014,Alexandra,E05000266,-0.132110964,51.59498395,529256.8126,190217.9562
Almeida Theatre,Almeida St, Islington,NA,Islington,https://almeida.co.uk/,5300001086,E09000019,St. Mary's,E05000379,-0.105570065,51.53995318,531253.2183,184146.9795
Ambassadors Theatre,West St,NA,NA,City of Westminster,https://www.theambassadorstheatre.co.uk/Online/,5110511,E09000033,West End,E05000649,-0.129569398,51.51350874,529664.5109,181164.0438
Andrew Lloyd Webber Foundation Theatre,Arts Ed, 14 Bath Rd, Chiswick,Hounslow,http://www.reallyusefultheatres.co.uk/our-group/andrew-lloyd-webber,2.00E+11,E09000018,Chiswick Homefields,E05000348,-0.254003676,51.49647058,521077.655,179056.3352
Apollo Theatre,Shaftesbury Ave, Soho,NA,City of Westminster,https://www.nimaxtheatres.com/theatres/apollo-theatre/,10033548808,E09000033,West End,E05000649,-0.134987535,51.51201028,529292.9012,180987.8489
Apollo Victoria,17 Wilton Rd, Pimlico,NA,City of Westminster,https://www.theapollovictoria.com/,1.00E+11,E09000033,Warwick,E05000647,-0.144258315,51.49628761,528694.0801,179223.4437
Applecart Arts,170 Harold Rd,NA,NA,Newham,http://www.applecartarts.com/,10012836969,E09000025,Plaistow North,E05000489,0.025974218,51.53441802,540389.9778,183775.9528
Arcola Theatre,24 Ashwin St, Dalston,NA,Islington,https://www.arcolatheatre.com/,10008321023,E09000019,Mildmay,E05000377,-0.076943219,51.54760619,533215.5157,185049.5615
Arthouse,159A Tottenham Lane,NA,NA,Haringey,NA,1.00E+11,E09000014,Hornsey,E05000273,-0.12154867,51.58233814,530024.3444,188830.7512
Arts Theatre,6-7 Great Newport St, London,NA,City of Westminster,https://artstheatrewestend.co.uk/,1.00E+11,E09000033,St. James's,E05000644,-0.129054132,51.51264433,529702.711,181068.8526
artsdepot,5 Nether St, Tally Ho Corner, North Finchley,Barnet,https://www.artsdepot.co.uk/,200198999,E09000003,West Finchley,E05000061,-0.177899683,51.61346127,526034.9403,192192.2358
Ashcroft Theatre (Fairfield Halls),Park Lane,NA,NA,Croydon,https://en.wikipedia.org/wiki/Ashcroft_Theatre,1.00E+11,E09000008,Fairfield,E05011468,-0.097382917,51.37305115,532302.9563,165605.8937
